Manufacturer,Model Name,Body Style,Boot Space Ltrs,Start Year,End Year,Image Link
Audi,e-tron GT,Coupe,490,2021,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436832/e-tron-gt_udcslr.jpg
Audi,Q8 e-tron,SUV,631,2023,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436829/Audi_Q8-etron-2023-01_2x_nsavdq.jpg
Audi,Q8 Sportback e-tron,SUV,590,2023,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436830/Audi_Q8-etron-sportback-2023-20_2x_x66sa2.jpg
BMW,iX1 LWB,SUV,490,2025,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436832/ix1_vrwvbg.jpg
BMW,i4,Sedan,470,2022,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436830/BMW_i4_eDrive40-08_2x_aunbpm.jpg
BMW,i5,Sedan,490,2024,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436831/BMW_i5_M60_xDrive_Sedan-22_2x_aoe7wr.jpg
BMW,iX,SUV,500,2021,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436828/BMW_iX_2022-14_2x_yrrzku.jpg
BMW,i7,Sedan,500,2023,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436830/BMW_i7_2022-05_2x_d7ndgt.jpg
BYD,Atto 3,SUV,440,2024,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436829/byd-atto3_dyxfdl.jpg
BYD,eMax 7,MPV,180,2024,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436829/byd_emax7_bfaref.jpg
BYD,Seal,Sedan,453,2024,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436832/byd-seal_eiisuj.jpg
BYD,Sealion 7,SUV,578,2024,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436834/byd-sealion-7-charging-01-xl_bhtyfb.jpg
Citroen,eC3,Hatchback,315,2023,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436830/citroen-ec3_xkspou.jpg
Hyundai,Creta,SUV,455,2025,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436830/creta-electric-side1_rgd4ro.jpg
Hyundai,Ioniq 5,SUV,588,2023,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436832/Hyundai_IONIQ5_2021-01_2x_b7zspq.jpg
Kia,EV6,SUV,510,2025,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436834/Kia_EV6_2024-01_2x_gvgani.jpg
Kia,EV9,SUV,385,2024,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436834/kia-ev9-gt-line-awd-aurora-red-1_dnthwz.jpg
Lotus,Emeya,Sedan,543,2025,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436834/Lotus_Emeya-01_2x_jzf2vo.jpg
Lotus,Eletre,SUV,657,2023,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436833/Lotus_Eletre-01_2x_ryxr6k.jpg
Mahindra,XUV400,SUV,378,2024,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436839/mahindra-xuv400_pmsxsu.png
Mahindra,BE 6,SUV,455,2024,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436835/mahindra-be6_qc21ob.jpg
Mahindra,XEV 9e,SUV,633,2024,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436838/mahindra-xev9e_11zon_krtbpy.jpg
Mercedes - Benz,EQA,SUV,340,2024,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436835/Mercedes_EQA_2024-03_2x_smeapl.jpg
Mercedes - Benz,EQB,SUV,495,2022,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436837/Mercedes_EQB_2024-05_2x_ce3nss.jpg
Mercedes - Benz,EQE SUV,SUV,520,2023,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436836/Mercedes_EQE_SUV-16_2x_lromxl.jpg
Mercedes - Benz,EQS SUV,SUV,645,2025,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436836/Mercedes_EQS_SUV_2022-05_2x_p3socb.jpg
Mercedes - Benz,EQS,Sedan,620,2022,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436837/Mercedes_EQS_Sedan_gk39um.jpg
Mercedes - Benz,AMG EQS,Sedan,620,2022,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436836/Mercedes_EQS_AMG_2021-04_2x_jwa8q0.jpg
Mercedes - Benz,Maybach EQS SUV,SUV,440,2025,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436837/Mercedes_MAYBACH_drvyd5.jpg
Mercedes - Benz,G Class,SUV,555,2025,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436831/GWAGON_ryebp3.jpg
MG,Comet EV,Hatchback,350,2023,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436839/MG-COMET_f5fosb.jpg
MG,Windsor EV,SUV,604,2024,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436839/MG-WINDSOR_dlur5i.jpg
MG,ZS EV,SUV,448,2022,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436842/MG-ZS_j95krl.jpg
MINI,Cooper SE,Hatchback,200,2022,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436839/Mini_Electric_2021-05_2x_jul5nv.jpg
MINI,Countryman Electric,SUV,460,2024,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436839/Mini_Countryman_2024-01_2x_etwqg5.jpg
Porsche,Macan,SUV,624,2025,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436840/PORSCHE-MACAN_krncgh.jpg
Porsche,Taycan,Sedan,491,2024,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436840/Porsche_Taycan_2024-08_2x_xtnttr.jpg
Rolls-Royce,Spectre,Coupe,380,2024,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436841/RR-SPECTRE_hel3oq.jpg
Tata,Tiago EV,Hatchback,240,2022,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436828/Tiago-EV-Charging-1-min_yv5orc.jpg
Tata,Punch EV,SUV,366,2024,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436842/Punch.ev-Empowered-Oxide-Front-3-4th-scaled_p7robl.jpg
Tata,Tigor EV,Sedan,316,2022,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436841/tata-tigorpress-23nov22-01_vhzagf.jpg
Tata,Nexon EV,SUV,350,2024,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436827/all-new-Nexon.ev-Front-3-4th-scaled_nkfcrf.jpg
Tata,Curvv EV,SUV,500,2024,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436841/tata-curvv_h2vuky.jpg
Volvo,EX40,SUV,441,2024,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436827/volvo-ex40_uro9ux.jpg
Volvo,C40 Recharge,SUV,450,2023,,https://res.cloudinary.com/dhsuta4gh/image/upload/v1743436827/volvo-c40_spdrh4.jpg